iter	Passed	Remaining
905	3506	363
906	3510	359
907	3513	355
908	3516	352
909	3520	348
910	3523	344
911	3527	340
912	3530	336
913	3533	332
914	3537	328
915	3541	324
916	3544	320
917	3547	316
918	3551	313
919	3555	309
920	3559	305
921	3562	301
922	3565	297
923	3569	293
924	3573	289
925	3577	285
926	3580	281
927	3583	278
928	3588	274
929	3591	270
930	3595	266
931	3598	262
932	3602	258
933	3606	254
934	3612	251
935	3616	247
936	3620	243
937	3624	239
938	3627	235
939	3631	231
940	3635	227
941	3639	224
942	3643	220
943	3647	216
944	3651	212
945	3655	208
946	3660	204
947	3664	200
948	3668	197
949	3672	193
950	3675	189
951	3679	185
952	3683	181
953	3687	177
954	3691	173
955	3695	170
956	3699	166
957	3702	162
958	3706	158
959	3710	154
960	3714	150
961	3718	146
962	3721	142
963	3725	139
964	3729	135
965	3733	131
966	3737	127
967	3741	123
968	3745	119
969	3748	115
970	3752	112
971	3755	108
972	3759	104
973	3762	100
974	3766	96
975	3769	92
976	3773	88
977	3777	84
978	3781	81
979	3786	77
980	3789	73
981	3793	69
982	3797	65
983	3801	61
984	3805	57
985	3809	54
986	3813	50
987	3817	46
988	3820	42
989	3825	38
990	3829	34
991	3833	30
992	3837	27
993	3841	23
994	3845	19
995	3849	15
996	3852	11
997	3855	7
998	3859	3
999	3862	0
